priority,name,organization,role,signal_domain,thesis_relevant_if
P1,Jensen Huang,NVIDIA,CEO,"GPU/AI factory/rack/networking/storage","Rubin/Blackwell successors, HBM content, partners, supply chain, export rules, rack availability, storage/networking architecture"
P1,Sanjay Mehrotra,Micron,CEO,"HBM/DRAM/LPDDR/NAND","HBM sellout, prices, capex, qualification, margins, guidance"
P1,Kwak Noh-Jung,SK hynix,CEO,"HBM/DRAM/LPDDR","capacity, customers, yield, HBM generations, prices, investment, supply contracts"
P1,David Goeckeler,SanDisk,CEO,"NAND/Enterprise SSD","enterprise SSD revenue, LTAs, NAND prices, JV economics, capex, margins, guidance"
P1,Hiroo Ota,Kioxia,CEO,"NAND/Enterprise SSD/SanDisk JV","SSD margins, FCF, capex, ASPs, bit shipments, JV data, liquidity"
P1,Hock Tan,Broadcom,CEO,"Custom AI silicon/networking","AI revenue, ASIC design wins, networking backlog, customer concentration, margins, guidance"
P1,Matt Murphy,Marvell,CEO,"Custom AI silicon/optics/interconnect","XPU programs, optics, AI bookings, customers, margins, EPS revisions"
P1,Jayshree Ullal,Arista,CEO,"Ethernet AI fabric","AI sales goals, cloud titans, Ethernet fabric, 800G/1.6T, margins, guidance"
P1,Michael Dell,Dell,Chairman/CEO,"AI server/demand proxy","AI server orders, backlog, storage attach, customer mix, FCF, margins, bottlenecks"
P1,Jeff Clarke,Dell,COO,"AI server/supply chain","procurement, ISG margins, backlog, storage attach, working capital"
P1,Dave Mosley,Seagate,CEO,"HDD/Nearline/HAMR","LTAs, exabytes, HAMR/Mozaic, prices, capacity, FCF, margins"
P1,Irving Tan,Western Digital,CEO,"HDD/Nearline","capacity, LTAs, exabytes, margins, FCF, AI data retention"
P1,Giordano Albertazzi,Vertiv,CEO,"Power/cooling","orders, backlog, liquid cooling, power modules, margins, guidance"
P2,Satya Nadella,Microsoft,CEO,"Azure AI/capex","Azure AI growth, capex, GPU/CPU/storage bottlenecks, Copilot usage, guidance"
P2,Amy Hood,Microsoft,CFO,"AI capex/margins/FCF","capex, depreciation, gross margin, FCF, Azure AI guidance"
P2,Andy Jassy,Amazon,CEO,"AWS/capex/AI chips","AWS growth, Trainium/Inferentia, capex, datacenter, energy"
P2,Matt Garman,AWS,CEO,"Compute/storage/AI infrastructure","compute/storage demand, AI customers, regions, capex"
P2,Sundar Pichai,Alphabet,CEO,"Gemini/TPU/cloud/capex","AI capex, TPU, cloud customers, datacenter, regulation"
P2,Mark Zuckerberg,Meta,CEO,"Model training/datacenter","training clusters, capex, products, datacenter, energy"
P2,Susan Li,Meta,CFO,"Capex/FCF","capex, depreciation, FCF, AI infrastructure costs, guidance"
P2,Larry Ellison,Oracle,Chairman/CTO,"OCI/AI cloud","RPO, OCI AI training, customers, datacenter, energy, capex"
P2,Sam Altman,OpenAI,CEO,"Frontier models/AI infrastructure","Stargate, partners, capex, training, memory/storage/networking need"
P2,Dario Amodei,Anthropic,CEO,"Frontier models/enterprise AI","training, compute partnerships, enterprise demand, safety/regulation"
P2,Andrej Karpathy,Anthropic/Eureka Labs,Researcher,"Frontier research/coding agents","pre-training, synthetic data, coding agents, architecture, training efficiency with hard support"
P2,Ilya Sutskever,Safe Superintelligence,CEO,"Superintelligence/frontier scaling","compute providers, capital, talent, training, safety/capabilities strategy"
P3,Elon Musk,xAI/Tesla,Founder/CEO,"Private AI compute/robotics/power/chips","xAI/Tesla datacenter, GPU/Dojo/memory, energy, robotics, capex from official or high-quality sources"
