last_refresh,event_date,event_time,symbols,event_name,event_type,importance,status,source,relevance
"2026-06-05 12:46 Europe/Berlin",2026-06-05,"08:30 ET","Macro;all AI/storage values","US Employment Situation May 2026",Macro,high,confirmed,"BLS: https://www.bls.gov/schedule/2026/home.htm","Key weekly macro catalyst for rates, USD, growth multiples and risk appetite; pending at refresh time"
"2026-06-05 12:46 Europe/Berlin",2026-06-05,"n/a","Eurozone;Macro","Eurostat Q1 2026 GDP/main aggregates",Macro,medium,confirmed,"Eurostat: https://ec.europa.eu/eurostat/en/web/products-euro-indicators/w/2-30042026-bp","Eurozone growth and ECB context"
"2026-06-05 12:46 Europe/Berlin",2026-06-09,"12:20 PT / 15:20 ET","SNDK;285A.T","SanDisk at Mizuho Technology Conference 2026",Conference,high,confirmed,"SanDisk IR: https://investor.sandisk.com/events/event-details/mizuho-technology-conference-2026","Direct NAND/Enterprise-SSD catalyst and Kioxia/SanDisk readthrough"
"2026-06-05 12:46 Europe/Berlin",2026-06-10,"after US close; call 16:00 CT","ORCL;NVDA;Memory indirect","Oracle Q4 FY2026 earnings",Earnings,high,confirmed,"Oracle IR: https://investor.oracle.com/investor-news/news-details/2026/Oracle-Sets-the-Date-for-its-Fourth-Quarter-Fiscal-Year-2026-Earnings-Announcement/default.aspx","OCI, RPO, AI datacenter leases, GPU/AI infrastructure demand, FCF/capex tone"
"2026-06-05 12:46 Europe/Berlin",2026-06-10,"08:30 ET / day","Macro","US CPI May 2026; Bank of Canada decision; ECB day 1",Macro,high,confirmed,"BLS; Bank of Canada; ECB calendars","Rates/inflation block for USD, real rates and growth/AI multiples"
"2026-06-05 12:46 Europe/Berlin",2026-06-11,"14:15 CET","Eurozone;ECB","ECB monetary policy decision",Macro,high,confirmed,"ECB calendar: https://www.ecb.europa.eu/press/calendars/mgcgc/html/index.en.html","European rates and risk appetite"
"2026-06-05 12:46 Europe/Berlin",2026-06-16,"to 2026-06-17; decision 14:00 ET on 2026-06-17","USA;Fed","FOMC meeting with projections",Macro,high,confirmed,"Federal Reserve FOMC calendar: https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm","Major rates catalyst after payrolls/CPI/Beige Book"
"2026-06-05 12:46 Europe/Berlin",2026-06-24,"n/a","285A.T;SNDK","Kioxia Securities Report planned filing",Filing,high,"planned per FY report","Kioxia FY2025 Financial Results: https://ssl4.eir-parts.net/doc/285A/tdnet/2815628/00.pdf","Hard check for FCF, working capital, capex, JV economics and risk factors"
"2026-06-05 12:46 Europe/Berlin",2026-06-24,"14:30 MT / 16:30 ET","MU;000660.KS;SNDK indirect","Micron FY2026 Q3 earnings call",Earnings,high,confirmed,"Micron IR: https://investors.micron.com/news-releases/news-release-details/micron-technology-report-fiscal-third-quarter-results-june-24","Core hard test for HBM ramp, DRAM/NAND pricing, margins, 2027 visibility and EPS revisions"
"2026-06-05 12:46 Europe/Berlin",2026-06-25,"n/a","285A.T;SNDK","Kioxia Ordinary General Meeting of Shareholders",Shareholder,medium,confirmed,"Kioxia FY2025 Financial Results: https://ssl4.eir-parts.net/doc/285A/tdnet/2815628/00.pdf","Governance/capital allocation check after Investor Day and Securities Report"
