date,scope,fundamental,timing,action,gesamt,note
"2026-06-26 09:00 Europe/Berlin",Depot,9,5,3,6,"Abgeleitet aus evaluation_log 2026-06-26: These hart bestaetigt (Micron Q3 Blowout); Timing gelb (parabolische Laeufe, hawkische Warsh-Fed, Oelschock); Handlungsnaehe gedeckelt (max 4), da Positionsgroessen/Gewichte offen (P0)"
"2026-06-26 09:00 Europe/Berlin","SK Hynix",9,5,3,6,"HBM/DRAM-Kernhebel, +13% 06-25 nahe 52W-Hoch; US-Listing-Plan; crowding/Timing-Watch"
"2026-06-26 09:00 Europe/Berlin",Micron,10,5,3,6,"Q3-Blowout (Umsatz $41.46B, GM 84.9%, HBM bis 2027/28 ausgebucht, Q4-Guide $50B); Preis-Konflikt offen"
"2026-06-26 09:00 Europe/Berlin",SanDisk,8,4,3,5,"Top Micron-Readthrough; ATH-Schluss 06-22; hoechste NAND-Beta -> Extension-Risiko; Preis-Konflikt offen"
"2026-06-26 09:00 Europe/Berlin",Kioxia,8,5,3,5,"FY2026 Umsatz Y2.34T +37%, Nettogewinn +104%; Bucket-Validierung positiv; Kurs jetzt bestaetigt ~99,930-101,800 (Probelauf 06-26)"
"2026-06-26 10:19 Europe/Berlin",Depot,9,4,3,6,"Intraday-Refresh: Fundamental unveraendert hart (These bestaetigt). Timing 5->4: erste harte Gewinnmitnahme sichtbar (Kioxia 06-26 -11,3%, Micron AH -5,1%) nach parabolischen Laeufen; Makro weiter hawkisch (Warsh-Fed, Oelschock). Handlungsnaehe gedeckelt (P0 Positionsgroessen offen)"
"2026-06-26 10:19 Europe/Berlin","SK Hynix",9,5,3,6,"06-26 Schluss ~2,919,000 haelt nahe Vorschluss; intraday 52W-Hoch 2,987,000 beruehrt; relativ staerkster Depotwert heute"
"2026-06-26 10:19 Europe/Berlin",Micron,10,5,3,6,"06-25 Schluss 1,213.56 (frisch, vorher 1,165.94); AH -5,1% auf 1,152 = erste Gewinnmitnahme nach Blowout, Fundamental unveraendert"
"2026-06-26 10:19 Europe/Berlin",SanDisk,8,4,3,5,"06-25 Schluss 2,335.00 nahe ATH (frisch, vorher 2,150.83); hoechste NAND-Beta -> Extension-Risiko am groessten"
"2026-06-26 10:19 Europe/Berlin",Kioxia,8,4,3,5,"06-26 Schluss ~92,180 -11,3% (Vorschluss 103,850): erste harte Gewinnmitnahme im am staerksten gelaufenen Depotwert (+660% YTD); Fundamental unveraendert"
"2026-06-26 10:19 Europe/Berlin",Depot,9,5,3,6,"Intraday-Update 10:19 CEST: These unveraendert hart bestaetigt; erstes Gewinnmitnahme-Signal in den gedehntesten Namen - Kioxia -11,3% (Close 92.180 vs prev 103.850), Micron AH -5,1%, SanDisk dagegen frischer ATH ~2.335. Timing bleibt gelb (parabolische Dehnung + Warsh-Fed-Hike-Risiko + 4,2% CPI + Oelschock); Handlungsnaehe gedeckelt (P0: Positionsgroessen offen)"
"2026-06-27 Europe/Berlin",Depot,9,4,3,6,"Daily Brief 06-27 (Sa, Boersen zu; 06-26-Schluss): Extension-/Crowding-Risiko REALISIERT - breiter Memory-Selloff am 06-26 traf ALLE vier Depotwerte (SK Hynix -8,36%, Kioxia -11,3%, Micron -7,0%, SanDisk ~-5,8%; Samsung -8,5%). KEIN These-Bruch (keine Preis-/Margen-/Guidance-Widerlegung), Fundamental bleibt 9 (Micron-Q3 bestaetigt). Makro leicht ENTSPANNT: 10Y 4,38% (-7bp/Wo), Oel <~$71, Mai-PCE in-line. Neue Timing-Flags: Korea-FSS-Warnung (Leverage-ETFs), Counterpoint-Oversupply-Hinweis. Handlungsnaehe gedeckelt (P0)"
"2026-06-27 Europe/Berlin","SK Hynix",9,4,3,6,"06-26-Schluss 2.673.000 -8,36% (Korea-Memory-Selloff); US-ADR-Listing ~10.07 (255.000 KRW/~$166, HSBC +20% Premium); Fundamental Kernhebel intakt; gestrige 10:19-Intraday 2.919.000 war Fehlprint"
"2026-06-27 Europe/Berlin",Micron,10,4,3,6,"06-26-Schluss $1.129 -7,0%; fwd-KGV jetzt 8,63 (komprimiert); Q3-Blowout bleibt harter Anker (HBM bis 2027/28 ausgebucht, GM 84,9%->86%)"
"2026-06-27 Europe/Berlin",SanDisk,8,4,3,5,"06-26 ~$2.200 -~5,8% (Schluss zu bestaetigen); Top-Readthrough, JV bis 2034; hoechste NAND-Beta -> Extension-Risiko; Bucket-Ueberlappung mit Kioxia"
"2026-06-27 Europe/Berlin",Kioxia,8,4,3,5,"06-26-Schluss 92.180 -11,3% = tiefste Tageskorrektur im am staerksten gelaufenen Wert (+660% YTD); Fundamental (Rekordergebnisse, Op-Marge ~74% Guidance) intakt"
